model_a,effort_a,model_b,effort_b,current_iq_a,current_iq_b,current_delta_iq,abs_delta_iq,shared_tasks,bootstrap_mean_delta,bootstrap_p05,bootstrap_p10,bootstrap_p25,bootstrap_p50,bootstrap_p75,bootstrap_p90,bootstrap_p95,prob_a_gt_b,prob_b_gt_a,ci90_contains_zero,ci95_contains_zero,weight_mode,weight_status
gpt-5.6-sol,low,gpt-5.6-sol,high,81.7,96.88,-15.179999999999993,15.179999999999993,112,-15.24142857142848,-23.660714285714334,-21.87500000000002,-18.750000000000032,-15.178571428571457,-11.607142857142899,-8.482142857142861,-6.250000000000061,0.0018,0.9982,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-sol,xhigh,81.7,99.11,-17.409999999999997,17.409999999999997,112,-17.50736607142861,-26.339285714285747,-24.553571428571434,-21.42857142857142,-17.410714285714306,-13.839285714285715,-10.267857142857157,-8.482142857142827,0.0008,0.9991,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-sol,max,81.7,107.14,-25.439999999999998,25.439999999999998,112,-25.55352678571427,-35.267857142857174,-33.48214285714285,-29.464285714285776,-25.446428571428616,-21.428571428571434,-17.857142857142843,-15.624999999999995,0,1,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-sol,ultra,81.7,100.89,-19.189999999999998,19.189999999999998,112,-19.303303571428632,-29.464285714285726,-27.23214285714287,-23.660714285714285,-19.19642857142862,-15.178571428571408,-11.160714285714313,-8.92857142857143,0.0007,0.9992,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-terra,low,81.7,51.34,30.36,30.36,112,30.323526785714133,21.42857142857142,23.214285714285722,26.78571428571425,30.35714285714284,33.928571428571416,37.49999999999995,39.28571428571427,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-terra,medium,81.7,58.48,23.220000000000006,23.220000000000006,112,23.123660714285677,13.839285714285698,16.071428571428523,19.19642857142857,23.214285714285698,26.78571428571428,30.357142857142826,32.14285714285714,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-terra,high,81.7,77.68,4.019999999999996,4.019999999999996,112,3.962455357142888,-5.357142857142838,-3.1250000000000053,0.4464285714285199,4.017857142857128,7.589285714285704,11.160714285714239,13.392857142857078,0.7557,0.2387,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-terra,xhigh,81.7,87.95,-6.25,6.25,112,-6.300223214285788,-16.071428571428566,-13.839285714285715,-10.267857142857123,-6.249999999999995,-2.2321428571428656,1.3392857142856929,3.1250000000000053,0.1375,0.8577,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-terra,max,81.7,101.34,-19.64,19.64,112,-19.78620535714287,-29.464285714285726,-27.232142857142875,-23.660714285714302,-19.64285714285719,-15.62500000000006,-12.05357142857147,-10.267857142857139,0.0004,0.9996,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-terra,ultra,81.7,99.11,-17.409999999999997,17.409999999999997,112,-17.542589285714325,-27.67857142857143,-25.446428571428573,-21.87499999999997,-17.857142857142826,-13.392857142857146,-9.375000000000016,-7.142857142857151,0.0016,0.9982,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-luna,low,81.7,7.59,74.11,74.11,112,74.04379464285648,65.17857142857142,66.96428571428572,70.53571428571426,74.10714285714283,77.67857142857142,80.8035714285714,82.58928571428571,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-luna,medium,81.7,32.14,49.56,49.56,112,49.539687499999346,40.624999999999986,42.85714285714283,45.98214285714283,49.553571428571416,53.12499999999999,56.25000000000001,58.48214285714283,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-luna,high,81.7,76.34,5.359999999999999,5.359999999999999,112,5.2753125000000525,-4.017857142857145,-1.7857142857143127,1.3392857142857428,5.357142857142838,8.928571428571447,12.49999999999998,14.285714285714285,0.8272,0.1679,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-luna,xhigh,81.7,87.05,-5.349999999999994,5.349999999999994,112,-5.420000000000047,-14.285714285714294,-12.05357142857147,-8.928571428571447,-5.357142857142872,-1.785714285714296,1.3392857142857262,3.571428571428542,0.1525,0.8424,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.6-luna,max,81.7,102.68,-20.980000000000004,20.980000000000004,112,-21.06593750000002,-30.803571428571452,-29.017857142857125,-25.446428571428548,-20.9821428571429,-16.964285714285722,-12.94642857142864,-11.16071428571428,0.0002,0.9998,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.5,high,81.7,90.18,-8.480000000000004,8.480000000000004,112,-8.506517857142802,-18.30357142857143,-16.071428571428616,-12.500000000000039,-8.482142857142861,-4.464285714285728,-0.8928571428570897,1.3392857142857262,0.0818,0.9153,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,low,gpt-5.5,xhigh,81.7,96.88,-15.179999999999993,15.179999999999993,112,-15.228169642856967,-25.000000000000018,-22.76785714285716,-19.196428571428587,-15.178571428571457,-11.160714285714313,-7.589285714285721,-5.357142857142872,0.0061,0.9937,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-sol,high,95.54,96.88,-1.3399999999999892,1.3399999999999892,112,-1.34687499999997,-7.589285714285721,-6.249999999999995,-4.017857142857128,-1.3392857142857262,1.3392857142856762,3.5714285714285587,4.910714285714269,0.3529,0.637,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-sol,xhigh,95.54,99.11,-3.569999999999993,3.569999999999993,112,-3.612812499999969,-10.29017857142864,-8.928571428571447,-6.250000000000044,-3.5714285714285756,-0.892857142857123,1.7857142857142794,3.125000000000022,0.1937,0.801,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-sol,max,95.54,107.14,-11.599999999999994,11.599999999999994,112,-11.658973214285595,-19.642857142857125,-17.85714285714286,-14.732142857142872,-11.607142857142883,-8.482142857142861,-5.35714285714292,-4.017857142857112,0.0069,0.9928,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-sol,ultra,95.54,100.89,-5.349999999999994,5.349999999999994,112,-5.408749999999858,-13.392857142857128,-11.607142857142849,-8.482142857142893,-5.357142857142872,-2.232142857142849,0.8928571428570897,2.6785714285713857,0.126,0.8688,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-terra,low,95.54,51.34,44.2,44.2,112,44.21808035714241,34.37500000000002,36.607142857142854,40.17857142857143,44.19642857142856,48.21428571428571,52.23214285714282,54.46428571428567,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-terra,medium,95.54,58.48,37.06000000000001,37.06000000000001,112,37.0182142857137,27.232142857142836,29.464285714285683,33.03571428571427,37.053571428571416,41.07142857142858,44.642857142857146,46.87500000000001,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-terra,high,95.54,77.68,17.86,17.86,112,17.857008928571343,9.375000000000016,11.160714285714295,14.285714285714285,17.85714285714285,21.428571428571402,24.553571428571434,26.339285714285754,0.9998,0.0002,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-terra,xhigh,95.54,87.95,7.590000000000003,7.590000000000003,112,7.594330357142803,-3.4139358007222806e-14,1.3392857142857746,4.464285714285715,7.589285714285721,10.714285714285726,13.839285714285715,15.624999999999979,0.9453,0.0522,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-terra,max,95.54,101.34,-5.799999999999997,5.799999999999997,112,-5.891651785714306,-13.392857142857162,-12.053571428571402,-8.928571428571466,-5.803571428571441,-2.678571428571436,1.6653345369377348e-14,1.7857142857142794,0.1019,0.8925,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-terra,ultra,95.54,99.11,-3.569999999999993,3.569999999999993,112,-3.6480357142857116,-12.053571428571452,-10.267857142857139,-7.142857142857134,-3.5714285714285756,-0.44642857142850323,3.1249999999999725,4.910714285714252,0.2339,0.7591,true,true,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-luna,low,95.54,7.59,87.95,87.95,112,87.9383482142859,78.12500000000003,80.35714285714288,83.92857142857143,87.94642857142857,91.96428571428571,95.08928571428574,97.32142857142857,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-luna,medium,95.54,32.14,63.400000000000006,63.400000000000006,112,63.434241071427785,53.124999999999986,55.357142857142854,58.92857142857146,63.39285714285715,67.85714285714282,71.42857142857147,73.66071428571432,1,0,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-luna,high,95.54,76.34,19.200000000000003,19.200000000000003,112,19.16986607142867,9.375,11.607142857142849,15.178571428571425,19.19642857142857,23.214285714285698,26.785714285714306,29.017857142857174,0.9995,0.0005,false,false,unweighted,site_task_weight_not_confirmed
gpt-5.6-sol,medium,gpt-5.6-luna,xhigh,95.54,87.05,8.490000000000009,8.490000000000009,112,8.474553571428498,0.44642857142856984,2.232142857142849,4.910714285714302,8.482142857142843,12.053571428571402,14.732142857142888,16.517857142857167,0.9581,0.0395,false,true,unweighted,site_task_weight_not_confirmed
