model,effort,mode,plan,iq,cost,minutes,family_capacity_20x,plan_capacity,weekly_share,eligible_gate_015,eligible_gate_020,eligible_gate_025,eligible_gate_030,eligible_gate_040,eligible_gate_050,eligible_gate_060,eligible_gate_080,fast_ratio,quota_status
gpt-5.6-terra,medium,Standard,Plus,58.48,0.621189,9.42,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,medium,Standard,Pro5,58.48,0.621189,9.42,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,medium,Standard,Pro20,58.48,0.621189,9.42,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,medium,Fast,Plus,58.48,1.5529725,6.78086412972182,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,medium,Fast,Pro5,58.48,1.5529725,6.78086412972182,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,medium,Fast,Pro20,58.48,1.5529725,6.78086412972182,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,high,Standard,Plus,77.68,1.077523,13.66,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,high,Standard,Pro5,77.68,1.077523,13.66,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,high,Standard,Pro20,77.68,1.077523,13.66,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,high,Fast,Plus,77.68,2.6938075,9.832972825053085,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,high,Fast,Pro5,77.68,2.6938075,9.832972825053085,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
